Country Name,Country Code,Series Name,Series Code,2022 [YR2022]
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,357.261152798144
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.617
Afghanistan,AFG,Individuals using the Internet (% of population),IT.NET.USER.ZS,15.86629963
Afghanistan,AFG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,14.1
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,7756.96188744253
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.769
Albania,ALB,Individuals using the Internet (% of population),IT.NET.USER.ZS,82.61367544
Albania,ALB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.72977995872498
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,10.785
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,4960.30334332888
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.129
Algeria,DZA,Individuals using the Internet (% of population),IT.NET.USER.ZS,74.78150177
Algeria,DZA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.74924673000603
Algeria,DZA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,12.382
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,18017.4589383973
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.752
American Samoa,ASM,Individuals using the Internet (% of population),IT.NET.USER.ZS,..
American Samoa,ASM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
American Samoa,ASM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,42414.0590111349
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,84.016
Andorra,AND,Individuals using the Internet (% of population),IT.NET.USER.ZS,94.05169678
Andorra,AND,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.64727997779846
Andorra,AND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,3598.53669077341
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.246
Angola,AGO,Individuals using the Internet (% of population),IT.NET.USER.ZS,35.83800125
Angola,AGO,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.38535898416633
Angola,AGO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,14.124
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,20003.3909394099
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.483
Antigua and Barbuda,ATG,Individuals using the Internet (% of population),IT.NET.USER.ZS,71.9233017
Antigua and Barbuda,ATG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.50368755552383
Antigua and Barbuda,ATG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,13962.1894087223
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.806
Argentina,ARG,Individuals using the Internet (% of population),IT.NET.USER.ZS,88.37535691
Argentina,ARG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.79263019561768
Argentina,ARG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.805
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,6571.97445545099
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.7658536585366
Armenia,ARM,Individuals using the Internet (% of population),IT.NET.USER.ZS,77.02767465
Armenia,ARM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.4918999671936
Armenia,ARM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,13.451
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,31000.5713798732
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.226
Aruba,ABW,Individuals using the Internet (% of population),IT.NET.USER.ZS,..
Aruba,ABW,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Aruba,ABW,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,65169.5191118657
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,83.2
Australia,AUS,Individuals using the Internet (% of population),IT.NET.USER.ZS,96.11940002
Australia,AUS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.05915021896362
Australia,AUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.728
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,52336.7725223758
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.2951219512195
Austria,AUT,Individuals using the Internet (% of population),IT.NET.USER.ZS,93.61409139
Austria,AUT,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.27749013900757
Austria,AUT,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.992
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,7770.594223351
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.125
Azerbaijan,AZE,Individuals using the Internet (% of population),IT.NET.USER.ZS,88
Azerbaijan,AZE,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.04689002037048
Azerbaijan,AZE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.65
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,34957.1613279737
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.491
"Bahamas, The",BHS,Individuals using the Internet (% of population),IT.NET.USER.ZS,92.2559967
"Bahamas, The",BHS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.62367021406169
"Bahamas, The",BHS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9.25
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,30470.5219276023
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.992
Bahrain,BHR,Individuals using the Internet (% of population),IT.NET.USER.ZS,100
Bahrain,BHR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,1.71192127094005
Bahrain,BHR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1.265
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,2716.48592780431
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.265
Bangladesh,BGD,Individuals using the Internet (% of population),IT.NET.USER.ZS,41.61650085
Bangladesh,BGD,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.08538657806243
Bangladesh,BGD,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.593
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,24393.2193483944
Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.676
Barbados,BRB,Individuals using the Internet (% of population),IT.NET.USER.ZS,69.06359863
Barbados,BRB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.14000988006592
Barbados,BRB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.261
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,7994.64806074889
Belarus,BLR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.1033658536585
Belarus,BLR,Individuals using the Internet (% of population),IT.NET.USER.ZS,89.50733148
Belarus,BLR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.62823009490967
Belarus,BLR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.574
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,50639.0264882739
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.7487804878049
Belgium,BEL,Individuals using the Internet (% of population),IT.NET.USER.ZS,94.00783071
Belgium,BEL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,6.27611017227173
Belgium,BEL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.57
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,7068.21728043145
Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.19
Belize,BLZ,Individuals using the Internet (% of population),IT.NET.USER.ZS,69.98329926
Belize,BLZ,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.60415983200073
Belize,BLZ,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,8.682
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1266.42711031904
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.475
Benin,BEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,30.53730011
Benin,BEN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.0972642678305
Benin,BEN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1.685
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,119969.173269085
Bermuda,BMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.062
Bermuda,BMU,Individuals using the Internet (% of population),IT.NET.USER.ZS,..
Bermuda,BMU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,1.77583338857166
Bermuda,BMU,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,3711.32767981591
Bhutan,BTN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.754
Bhutan,BTN,Individuals using the Internet (% of population),IT.NET.USER.ZS,88.35620117
Bhutan,BTN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,7.46981980280053
Bhutan,BTN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.947
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,4219.46113742445
Bolivia,BOL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.434
Bolivia,BOL,Individuals using the Internet (% of population),IT.NET.USER.ZS,72.62270355
Bolivia,BOL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,7.57551002502441
Bolivia,BOL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.552
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,7655.59421024383
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.777
Bosnia and Herzegovina,BIH,Individuals using the Internet (% of population),IT.NET.USER.ZS,78.8455371
Bosnia and Herzegovina,BIH,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.97012986426524
